[texto1] [polícia=homem]
[polícia=homem] [ser]
[ser] [matar]
[matar] [em]
[em] [parque=da=redenção]
[parque=da=redenção] [em]
[em] [porto=alegre]
[porto=alegre] [polícia=civil]
[polícia=civil] [investigar]
[investigar] [motivo]
[motivo] [de]
[de] [crime]
[crime] [ocorrer]
[ocorrer] [em]
[em] [madrugada]
[madrugada] [de]
[de] [domingo]
[domingo] [jorge=luciano=soares=de=oliveira]
[jorge=luciano=soares=de=oliveira] [ano]
[ano] [ser]
[ser] [assassinar]
[assassinar] [em]
[em] [parque=da=redenção]
[parque=da=redenção] [em]
[em] [porto=alegre]
[porto=alegre] [por=volta=de]
[por=volta=de] [min]
[min] [de]
[de] [madrugada]
[madrugada] [segundo]
[segundo] [brigada=militar]
[brigada=militar] [policial]
[policial] [encontrar]
[encontrar] [vítima]
[vítima] [agonizar]
[agonizar] [em]
[em] [parque]
[parque] [em]
[em] [proximidade]
[proximidade] [de]
[de] [rua=josé=bonifácio]
[rua=josé=bonifácio] [jorge=luciano]
[jorge=luciano] [apresentar]
[apresentar] [sinal]
[sinal] [de]
[de] [agressão]
[agressão] [em]
[em] [rosto]
[rosto] [objeto]
[objeto] [sólido]
[sólido] [ter]
[ter] [ser]
[ser] [usar]
[usar] [para]
[para] [afundar]
[afundar] [face]
[face] [de]
[de] [jorge=luciano]
[jorge=luciano] [morrer]
[morrer] [em]
[em] [local]
[local] [polícia=civil]
[polícia=civil] [investigar]
[investigar] [motivo]
[motivo] [de]
[de] [crime]

[texto2] [preso]
[preso] [homem]
[homem] [morto]
[morto] [durante]
[durante] [operação]
[operação] [em]
[em] [região=metropolitana]
[região=metropolitana] [ser]
[ser] [apontar]
[apontar] [como]
[como] [matador]
[matador] [de]
[de] [quadrilha]
[quadrilha] [plínio=césar=ribeiro]
[plínio=césar=ribeiro] [formiga]
[formiga] [ano]
[ano] [receber]
[receber] [policial]
[policial] [a]
[a] [tiro]
[tiro] [em]
[em] [bairro=são=sebastião]
[bairro=são=sebastião] [em]
[em] [zona]
[zona] [norte]
[norte] [eduardo=torres]
[eduardo=torres] [eduardo.torres@diariogaucho.com.br]
[eduardo.torres@diariogaucho.com.br] [a=operação=matrix]
[a=operação=matrix] [fechar]
[fechar] [com]
[com] [mulher]
[mulher] [homem]
[homem] [prender]
[prender] [preventivo]
[preventivo] [envolver]
[envolver] [com]
[com] [tráfico]
[tráfico] [de]
[de] [droga]
[droga] [em]
[em] [boca]
[boca] [de]
[de] [fumo]
[fumo] [de]
[de] [cachoeirinha]
[cachoeirinha] [gravataí]
[gravataí] [ser]
[ser] [apreender]
[apreender] [pistola]
[pistola] [revólver]
[revólver] [calibre]
[calibre] [além=de]
[além=de] [pequeno]
[pequeno] [quantidade]
[quantidade] [de]
[de] [crack]
[crack] [cocaína]
[cocaína] [carro]
[carro] [moto]
[moto] [usar]
[usar] [por]
[por] [criminoso]
[criminoso] [para]
[para] [entregar]
[entregar] [de]
[de] [droga]
[droga] [em]
[em] [região]
[região] [plínio=césar=ribeiro]
[plínio=césar=ribeiro] [formiga]
[formiga] [ano]
[ano] [ser]
[ser] [apontar]
[apontar] [por]
[por] [polícia]
[polícia] [como]
[como] [matador]
[matador] [de]
[de] [quadrilha]
[quadrilha] [suspeitar]
[suspeitar] [por]
[por] [pelo=menos]
[pelo=menos] [homicídio]
[homicídio] [entre]
[entre] [cachoeirinha]
[cachoeirinha] [gravataí]
[gravataí] [desde]
[desde] [ano]
[ano] [passado]
[passado] [caber]
[caber] [a]
[a] [eliminar]
[eliminar] [desafeto]
[desafeto] [devedor]
[devedor] [rival]
[rival] [de]
[de] [bando]
[bando] [em]
[em] [disputa]
[disputa] [por]
[por] [ponto]
[ponto] [de]
[de] [tráfico]
[tráfico] [por=volta=de]
[por=volta=de] [receber]
[receber] [agente]
[agente] [a]
[a] [tiro]
[tiro] [em]
[em] [apartamento]
[apartamento] [de]
[de] [companheira]
[companheira] [onde]
[onde] [dormir]
[dormir] [em]
[em] [bairro=são=sebastião]
[bairro=são=sebastião] [zona=norte]
[zona=norte] [de]
[de] [porto=alegre]
[porto=alegre] [policial]
[policial] [reagir]
[reagir] [formiga]
[formiga] [ser]
[ser] [matar]
[matar] [com]
[com] [pelo=menos]
