[texto72] [mistério]
[mistério] [em]
[em] [capital=corpo]
[capital=corpo] [de]
[de] [homem]
[homem] [ser]
[ser] [retirar]
[retirar] [de]
[de] [arroio=dilúvio]
[arroio=dilúvio] [em]
[em] [porto=alegre]
[porto=alegre] [segundo]
[segundo] [polícia]
[polícia] [não]
[não] [haver]
[haver] [sinal]
[sinal] [aparentar]
[aparentar] [de]
[de] [violência]
[violência] [carolina=rocha]
[carolina=rocha] [carolina.rocha@diariogaucho.com.br]
[carolina.rocha@diariogaucho.com.br] [não]
[não] [haver]
[haver] [informação]
[informação] [sobre]
[sobre] [causa]
[causa] [de]
[de] [morte]
[morte] [segundo]
[segundo] [policiar]
[policiar] [de]
[de] [equipe]
[equipe] [volante]
[volante] [de]
[de] [1ª]
[1ª] [dppa]
[dppa] [não]
[não] [haver]
[haver] [sinal]
[sinal] [aparentar]
[aparentar] [de]
[de] [violência]
[violência] [corpo]
[corpo] [de]
[de] [homem]
[homem] [identificar]
[identificar] [como]
[como] [odilson=lucio=maciel=da=luz]
[odilson=lucio=maciel=da=luz] [ano]
[ano] [ser]
[ser] [retirar]
[retirar] [de]
[de] [arroio=dilúvio]
[arroio=dilúvio] [em]
[em] [esquina]
[esquina] [de]
[de] [avenida]
[avenida] [joão=pessoa]
[joão=pessoa] [ipiranga]
[ipiranga] [em]
[em] [final]
[final] [de]
[de] [manhã]
[manhã] [de]
[de] [quarta-feira]
[quarta-feira] [não]
[não] [haver]
[haver] [informação]
[informação] [sobre]
[sobre] [causa]
[causa] [de]
[de] [morte]
[morte] [segundo]
[segundo] [policiar]
[policiar] [de]
[de] [equipe]
[equipe] [volante]
[volante] [de]
[de] [1ª]
[1ª] [dppa]
[dppa] [não]
[não] [haver]
[haver] [sinal]
[sinal] [aparente]
[aparente] [de]
[de] [violência]
[violência] [caso]
[caso] [ser]
[ser] [investigar]
[investigar] [por]
[por] [2ª]
[2ª] [dp]
[dp] [de]
[de] [capital]
[capital] [corpo]
[corpo] [ser]
[ser] [levar]
[levar] [a]
[a] [dml]
[dml] [para]
[para] [ser]
[ser] [periciar]

[texto73] [ação]
[ação] [policial]
[policial] [adolescente]
[adolescente] [ser]
[ser] [apreender]
[apreender] [com]
[com] [arma]
[arma] [de]
[de] [brigada=militar]
[brigada=militar] [pistola]
[pistola] [de]
[de] [batalhão]
[batalhão] [de]
[de] [capital]
[capital] [ser]
[ser] [encontrar]
[encontrar] [com]
[com] [suspeito]
[suspeito] [de]
[de] [tráfico]
[tráfico] [em]
[em] [alvorada=eduardo=torres]
[alvorada=eduardo=torres] [eduardo.torres@diariogaucho.com.br]
[eduardo.torres@diariogaucho.com.br] [adolescente]
[adolescente] [de]
[de] [ano]
[ano] [ser]
[ser] [apreender]
[apreender] [em]
[em] [manhã]
[manhã] [de]
[de] [sexta]
[sexta] [em]
[em] [alvorada]
[alvorada] [com]
[com] [pistola]
[pistola] [pertencente]
[pertencente] [a]
[a] [20º]
[20º] [bpm]
[bpm] [atuar]
[atuar] [em]
[em] [zona=norte=da=capital]
[zona=norte=da=capital] [agora]
[agora] [ir]
[ir] [investigar]
[investigar] [como]
[como] [arma]
[arma] [ir]
[ir] [parar]
[parar] [em]
[em] [bairro=umbu]
[bairro=umbu] [com]
[com] [adolescente]
[adolescente] [agente]
[agente] [de]
[de] [polícia]
[polícia] [também]
[também] [encontrar]
[encontrar] [revólver]
[revólver] [calibre]
[calibre] [munição]
[munição] [de]
[de] [diverso]
[diverso] [calibre]
[calibre] [quantidade]
[quantidade] [de]
[de] [crack]
[crack] [maconha]
[maconha] [operação=beira-mar]
[operação=beira-mar] [ser]
[ser] [resultado]
[resultado] [de]
[de] [investigação]
[investigação] [de]
[de] [3ª]
[3ª] [dp]
[dp] [de]
[de] [alvorada]
[alvorada] [contra]
[contra] [tráfico]
[tráfico] [em]
[em] [bairro]
[bairro] [ter]
[ter] [participação]
[participação] [de]
[de] [delegacia]
[delegacia] [de]
[de] [região=metropolitana]
[região=metropolitana] [homem]
[homem] [de]
[de] [ano]
[ano] [com]
[com] [antecedente]
[antecedente] [por]
[por] [homicídio]
[homicídio] [porte]
[porte] [de]
[de] [arma]
[arma] [ameaça]
[ameaça] [também]
[também] [ser]
[ser] [prender]
[prender] [com]
[com] [revólver]
[revólver] [calibre]
[calibre] [munição]
[munição] [pagar]
[pagar] [fiança]
[fiança] [ser]
[ser] [liberar]
[liberar] [adolescente]
[adolescente] [ser]
[ser] [apresentar]
[apresentar] [a]
[a] [ministério=público]

[texto74] [violência]
[violência] [em]
[em] [capital=jovens]
[capital=jovens] [ser]
[ser] [executar]
[executar] [em]
[em] [zona=norte]
[zona=norte] [de]
[de] [porto=alegre]
[porto=alegre] [pm]
[pm] [de]
[de] [11º]
[11º] [bpm]
[bpm] [encontrar]
[encontrar] [em]
[em] [cena]
[cena] [de]
[de] [crime]
[crime] [munição]
[munição] [deflagrar]
[deflagrar] [de]
[de] [calibre]
[calibre] [crime]
[crime] [ocorrer]
[ocorrer] [em]
[em] [avenida=dos=prazeres]
[avenida=dos=prazeres] [vila=jardim=renato=gava]
[vila=jardim=renato=gava] [renato.gava@diariogaucho.com.br]
[renato.gava@diariogaucho.com.br] [duplo]
[duplo] [homicídio]
[homicídio] [chocar]
[chocar] [morador]
[morador] [de]
[de] [zona=norte=da=capital]
[zona=norte=da=capital] [em]
[em] [final]
[final] [de]
[de] [tarde]
[tarde] [de]
[de] [domingo]
[domingo] [homem]
[homem] [conversar]
[conversar] [em]
[em] [carro]
[carro] [polícia]
[polícia] [não]
[não] [confirmar]
[confirmar] [modelo]
[modelo] [ser]
[ser] [executar]
[executar] [com]
[com] [diverso]
[diverso] [tiro]
[tiro] [por]
[por] [dupla]
[dupla] [conforme]
[conforme] [relato]
