@RELATION TrigramTest 

@ATTRIBUTE P1 integer 
@ATTRIBUTE P2 integer 
@ATTRIBUTE P3 integer 
@ATTRIBUTE P4 integer 
@ATTRIBUTE P5 integer 
@ATTRIBUTE P6 integer 
@ATTRIBUTE P7 integer 
@ATTRIBUTE P8 integer 
@ATTRIBUTE P9 integer 
@ATTRIBUTE P10 integer 
@ATTRIBUTE P11 integer 
@ATTRIBUTE P12 integer 
@ATTRIBUTE P13 integer 
@ATTRIBUTE P14 integer 
@ATTRIBUTE P15 integer 
@ATTRIBUTE P16 integer 
@ATTRIBUTE P17 integer 
@ATTRIBUTE P18 integer 
@ATTRIBUTE P19 integer 
@ATTRIBUTE P20 integer 
@ATTRIBUTE P21 integer 
@ATTRIBUTE P22 integer 
@ATTRIBUTE P23 integer 
@ATTRIBUTE P24 integer 
@ATTRIBUTE P25 integer 
@ATTRIBUTE P26 integer 
@ATTRIBUTE P27 integer 
@ATTRIBUTE P28 integer 
@ATTRIBUTE P29 integer 
@ATTRIBUTE P30 integer 
@ATTRIBUTE P31 integer 
@ATTRIBUTE P32 integer 
@ATTRIBUTE P33 integer 
@ATTRIBUTE P34 integer 
@ATTRIBUTE P35 integer 
@ATTRIBUTE P36 integer 
@ATTRIBUTE P37 integer 
@ATTRIBUTE P38 integer 
@ATTRIBUTE P39 integer 
@ATTRIBUTE P40 integer 
@ATTRIBUTE class {esportes,policia,problema,trabalhador} 

@DATA
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
