@RELATION UnigramTraining 

@ATTRIBUTE "P1[ser]" integer 
@ATTRIBUTE "P2[não]" integer 
@ATTRIBUTE "P3[ter]" integer 
@ATTRIBUTE "P4[time]" integer 
@ATTRIBUTE "P5[jogo]" integer 
@ATTRIBUTE "P6[estar]" integer 
@ATTRIBUTE "P7[grêmio]" integer 
@ATTRIBUTE "P8[muito]" integer 
@ATTRIBUTE "P9[fazer]" integer 
@ATTRIBUTE "P10[técnico]" integer 
@ATTRIBUTE "P11[colorar]" integer 
@ATTRIBUTE "P12[poder]" integer 
@ATTRIBUTE "P13[jogador]" integer 
@ATTRIBUTE "P14[como]" integer 
@ATTRIBUTE "P15[bom]" integer 
@ATTRIBUTE "P16[grande]" integer 
@ATTRIBUTE "P17[gol]" integer 
@ATTRIBUTE "P18[vitória]" integer 
@ATTRIBUTE "P19[clube]" integer 
@ATTRIBUTE "P20[partida]" integer 
@ATTRIBUTE "P21[ano]" integer 
@ATTRIBUTE "P22[já]" integer 
@ATTRIBUTE "P23[futebol]" integer 
@ATTRIBUTE "P24[jogar]" integer 
@ATTRIBUTE "P25[ir]" integer 
@ATTRIBUTE "P26[haver]" integer 
@ATTRIBUTE "P27[torcedor]" integer 
@ATTRIBUTE "P28[só]" integer 
@ATTRIBUTE "P29[quando]" integer 
@ATTRIBUTE "P30[primeiro]" integer 
@ATTRIBUTE "P31[tempo]" integer 
@ATTRIBUTE "P32[brasileirão]" integer 
@ATTRIBUTE "P33[ainda]" integer 
@ATTRIBUTE "P34[tricolor]" integer 
@ATTRIBUTE "P35[segundo]" integer 
@ATTRIBUTE "P36[adversário]" integer 
@ATTRIBUTE "P37[paixão]" integer 
@ATTRIBUTE "P38[dever]" integer 
@ATTRIBUTE "P39[equipe]" integer 
@ATTRIBUTE "P40[também]" integer 
@ATTRIBUTE "P41[vencer]" integer 
@ATTRIBUTE "P42[kenny.braga@diariogaucho.com.br]" integer 
@ATTRIBUTE "P43[campo]" integer 
@ATTRIBUTE "P44[hoje]" integer 
@ATTRIBUTE "P45[sempre]" integer 
@ATTRIBUTE "P46[domingo]" integer 
@ATTRIBUTE "P47[querer]" integer 
@ATTRIBUTE "P48[dizer]" integer 
@ATTRIBUTE "P49[título]" integer 
@ATTRIBUTE "P50[dar]" integer 
@ATTRIBUTE "P51[disputar]" integer 
@ATTRIBUTE "P52[ficar]" integer 
@ATTRIBUTE "P53[depois]" integer 
@ATTRIBUTE "P54[copa=do=brasil]" integer 
@ATTRIBUTE "P55[kenny=braga]" integer 
@ATTRIBUTE "P56[seleção]" integer 
@ATTRIBUTE "P57[momento]" integer 
@ATTRIBUTE "P58[marcar]" integer 
@ATTRIBUTE "P59[perder]" integer 
@ATTRIBUTE "P60[chegar]" integer 
@ATTRIBUTE "P61[resultado]" integer 
@ATTRIBUTE "P62[dunga]" integer 
@ATTRIBUTE "P63[ver]" integer 
@ATTRIBUTE "P64[novo]" integer 
@ATTRIBUTE "P65[estádio]" integer 
@ATTRIBUTE "P66[final]" integer 
@ATTRIBUTE "P67[vir]" integer 
@ATTRIBUTE "P68[atuação]" integer 
@ATTRIBUTE "P69[grupo]" integer 
@ATTRIBUTE "P70[minuto]" integer 
@ATTRIBUTE "P71[noite]" integer 
@ATTRIBUTE "P72[torcida]" integer 
@ATTRIBUTE "P73[história]" integer 
@ATTRIBUTE "P74[saber]" integer 
@ATTRIBUTE "P75[enfrentar]" integer 
@ATTRIBUTE "P76[bem]" integer 
@ATTRIBUTE "P77[ontem]" integer 
@ATTRIBUTE "P78[deixar]" integer 
@ATTRIBUTE "P79[brasileiro]" integer 
@ATTRIBUTE "P80[arena]" integer 
@ATTRIBUTE "P81[acontecer]" integer 
@ATTRIBUTE "P82[até]" integer 
@ATTRIBUTE "P83[renato]" integer 
@ATTRIBUTE "P84[ponto]" integer 
@ATTRIBUTE "P85[agora]" integer 
@ATTRIBUTE "P86[empate]" integer 
@ATTRIBUTE "P87[trabalho]" integer 
@ATTRIBUTE "P88[levar]" integer 
@ATTRIBUTE "P89[competição]" integer 
@ATTRIBUTE "P90[brasil]" integer 
@ATTRIBUTE "P91[voltar]" integer 
@ATTRIBUTE "P92[renato=portaluppi]" integer 
@ATTRIBUTE "P93[sábado]" integer 
@ATTRIBUTE "P94[mesmo]" integer 
@ATTRIBUTE "P95[passar]" integer 
@ATTRIBUTE "P96[contar]" integer 
@ATTRIBUTE "P97[campeão]" integer 
@ATTRIBUTE "P98[conquistar]" integer 
@ATTRIBUTE "P99[diferente]" integer 
@ATTRIBUTE "P100[são=paulo]" integer 
@ATTRIBUTE "P101[casa]" integer 
@ATTRIBUTE "P102[tráfico]" integer 
@ATTRIBUTE "P103[homem]" integer 
@ATTRIBUTE "P104[prender]" integer 
@ATTRIBUTE "P105[polícia]" integer 
@ATTRIBUTE "P106[homicídio]" integer 
@ATTRIBUTE "P107[crime]" integer 
@ATTRIBUTE "P108[encontrar]" integer 
@ATTRIBUTE "P109[delegado]" integer 
@ATTRIBUTE "P110[caso]" integer 
@ATTRIBUTE "P111[dia]" integer 
@ATTRIBUTE "P112[matar]" integer 
@ATTRIBUTE "P113[local]" integer 
@ATTRIBUTE "P114[policial]" integer 
@ATTRIBUTE "P115[carro]" integer 
@ATTRIBUTE "P116[adolescente]" integer 
@ATTRIBUTE "P117[droga]" integer 
@ATTRIBUTE "P118[porto=alegre]" integer 
@ATTRIBUTE "P119[tiro]" integer 
@ATTRIBUTE "P120[bala]" integer 
@ATTRIBUTE "P121[suspeito]" integer 
@ATTRIBUTE "P122[traficante]" integer 
@ATTRIBUTE "P123[de=acordo]" integer 
@ATTRIBUTE "P124[criminoso]" integer 
@ATTRIBUTE "P125[região]" integer 
@ATTRIBUTE "P126[pessoa]" integer 
@ATTRIBUTE "P127[família]" integer 
@ATTRIBUTE "P128[brigada=militar]" integer 
@ATTRIBUTE "P129[veículo]" integer 
@ATTRIBUTE "P130[pelo=menos]" integer 
@ATTRIBUTE "P131[vila]" integer 
@ATTRIBUTE "P132[morador]" integer 
@ATTRIBUTE "P133[quadrilha]" integer 
@ATTRIBUTE "P134[onde]" integer 
@ATTRIBUTE "P135[tentar]" integer 
@ATTRIBUTE "P136[morte]" integer 
@ATTRIBUTE "P137[apreender]" integer 
@ATTRIBUTE "P138[bairro]" integer 
@ATTRIBUTE "P139[passado]" integer 
@ATTRIBUTE "P140[hora]" integer 
@ATTRIBUTE "P141[vítima]" integer 
@ATTRIBUTE "P142[investigação]" integer 
@ATTRIBUTE "P143[tarde]" integer 
@ATTRIBUTE "P144[criança]" integer 
@ATTRIBUTE "P145[cara]" integer 
@ATTRIBUTE "P146[ação]" integer 
@ATTRIBUTE "P147[investigar]" integer 
@ATTRIBUTE "P148[procurar]" integer 
@ATTRIBUTE "P149[manter]" integer 
@ATTRIBUTE "P150[r]" integer 
@ATTRIBUTE "P151[apontar]" integer 
@ATTRIBUTE "P152[estado]" integer 
@ATTRIBUTE "P153[escola]" integer 
@ATTRIBUTE "P154[manhã]" integer 
@ATTRIBUTE "P155[assalto]" integer 
@ATTRIBUTE "P156[jovem]" integer 
@ATTRIBUTE "P157[ocorrer]" integer 
@ATTRIBUTE "P158[arma]" integer 
@ATTRIBUTE "P159[dhpp]" integer 
@ATTRIBUTE "P160[rua]" integer 
@ATTRIBUTE "P161[antes]" integer 
@ATTRIBUTE "P162[vez]" integer 
@ATTRIBUTE "P163[semana]" integer 
@ATTRIBUTE "P164[invadir]" integer 
@ATTRIBUTE "P165[min]" integer 
@ATTRIBUTE "P166[cumprir]" integer 
@ATTRIBUTE "P167[bando]" integer 
@ATTRIBUTE "P168[bm]" integer 
@ATTRIBUTE "P169[roubar]" integer 
@ATTRIBUTE "P170[eduardo.torres@diariogaucho.com.br]" integer 
@ATTRIBUTE "P171[prefeitura]" integer 
@ATTRIBUTE "P172[problema]" integer 
@ATTRIBUTE "P173[categoria]" integer 
@ATTRIBUTE "P174[lixo]" integer 
@ATTRIBUTE "P175[postar]" integer 
@ATTRIBUTE "P176[água]" integer 
@ATTRIBUTE "P177[situação]" integer 
@ATTRIBUTE "P178[aqui]" integer 
@ATTRIBUTE "P179[colocar]" integer 
@ATTRIBUTE "P180[precisar]" integer 
@ATTRIBUTE "P181[esgoto]" integer 
@ATTRIBUTE "P182[via]" integer 
@ATTRIBUTE "P183[afirmar]" integer 
@ATTRIBUTE "P184[@]" integer 
@ATTRIBUTE "P185[com.br]" integer 
@ATTRIBUTE "P186[diáriogaúcho]" integer 
@ATTRIBUTE "P187[informar]" integer 
@ATTRIBUTE "P188[chuva]" integer 
@ATTRIBUTE "P189[rede]" integer 
@ATTRIBUTE "P190[realizar]" integer 
@ATTRIBUTE "P191[calçada]" integer 
@ATTRIBUTE "P192[tiago=rech]" integer 
@ATTRIBUTE "P193[mês]" integer 
@ATTRIBUTE "P194[área]" integer 
@ATTRIBUTE "P195[buraco]" integer 
@ATTRIBUTE "P196[comunidade]" integer 
@ATTRIBUTE "P197[tomar]" integer 
@ATTRIBUTE "P198[obra]" integer 
@ATTRIBUTE "P199[eptc]" integer 
@ATTRIBUTE "P200[começar]" integer 
@ATTRIBUTE "P201[reclamar]" integer 
@ATTRIBUTE "P202[receber]" integer 
@ATTRIBUTE "P203[parte]" integer 
@ATTRIBUTE "P204[limpeza]" integer 
@ATTRIBUTE "P205[praça]" integer 
@ATTRIBUTE "P206[lugar]" integer 
@ATTRIBUTE "P207[no=entanto]" integer 
@ATTRIBUTE "P208[alvorada]" integer 
@ATTRIBUTE "P209[dep]" integer 
@ATTRIBUTE "P210[morar]" integer 
@ATTRIBUTE "P211[ali]" integer 
@ATTRIBUTE "P212[parada]" integer 
@ATTRIBUTE "P213[amanda.munhoz@diariogaucho.com.br]" integer 
@ATTRIBUTE "P214[esperar]" integer 
@ATTRIBUTE "P215[garantir]" integer 
@ATTRIBUTE "P216[pedir]" integer 
@ATTRIBUTE "P217[pedestre]" integer 
@ATTRIBUTE "P218[mãe]" integer 
@ATTRIBUTE "P219[viamão]" integer 
@ATTRIBUTE "P220[mais]" integer 
@ATTRIBUTE "P221[em=frente]" integer 
@ATTRIBUTE "P222[contato]" integer 
@ATTRIBUTE "P223[serviço]" integer 
@ATTRIBUTE "P224[nem]" integer 
@ATTRIBUTE "P225[vaga]" integer 
@ATTRIBUTE "P226[curso]" integer 
@ATTRIBUTE "P227[auxiliar]" integer 
@ATTRIBUTE "P228[abrir]" integer 
@ATTRIBUTE "P229[inscrição]" integer 
@ATTRIBUTE "P230[empresa]" integer 
@ATTRIBUTE "P231[%]" integer 
@ATTRIBUTE "P232[emprego]" integer 
@ATTRIBUTE "P233[profissional]" integer 
@ATTRIBUTE "P234[público]" integer 
@ATTRIBUTE "P235[informação]" integer 
@ATTRIBUTE "P236[candidato]" integer 
@ATTRIBUTE "P237[período]" integer 
@ATTRIBUTE "P238[concurso]" integer 
@ATTRIBUTE "P239[oferecer]" integer 
@ATTRIBUTE "P240[cr]" integer 
@ATTRIBUTE "P241[ensino]" integer 
@ATTRIBUTE "P242[oportunidade]" integer 
@ATTRIBUTE "P243[trabalhador]" integer 
@ATTRIBUTE "P244[féria]" integer 
@ATTRIBUTE "P245[enviar]" integer 
@ATTRIBUTE "P246[postado]" integer 
@ATTRIBUTE "P247[cargo]" integer 
@ATTRIBUTE "P248[e-mail]" integer 
@ATTRIBUTE "P249[salário]" integer 
@ATTRIBUTE "P250[cecília]" integer 
@ATTRIBUTE "P251[currículo]" integer 
@ATTRIBUTE "P252[médio]" integer 
@ATTRIBUTE "P253[alto]" integer 
@ATTRIBUTE "P254[prazo]" integer 
@ATTRIBUTE "P255[participar]" integer 
@ATTRIBUTE "P256[trabalhar]" integer 
@ATTRIBUTE "P257[baldocaren.baldo@diariogaucho.com.br]" integer 
@ATTRIBUTE "P258[cÁren]" integer 
@ATTRIBUTE "P259[outubro]" integer 
@ATTRIBUTE "P260[prova]" integer 
@ATTRIBUTE "P261[taxa]" integer 
@ATTRIBUTE "P262[nível]" integer 
@ATTRIBUTE "P263[gratuito]" integer 
@ATTRIBUTE "P264[interessar]" integer 
@ATTRIBUTE "P265[inscrever]" integer 
@ATTRIBUTE "P266[fundamental]" integer 
@ATTRIBUTE "P267[professor]" integer 
@ATTRIBUTE "P268[pequeno]" integer 
@ATTRIBUTE "P269[junho]" integer 
@ATTRIBUTE "P270[aprovar]" integer 
@ATTRIBUTE "P271[pesquisa]" integer 
@ATTRIBUTE "P272[espaço=do=trabalhador]" integer 
@ATTRIBUTE "P273[agosto]" integer 
@ATTRIBUTE "P274[chefe]" integer 
@ATTRIBUTE "P275[telefone]" integer 
@ATTRIBUTE "P276[mais=de]" integer 
@ATTRIBUTE "P277[rech-tiago]" integer 
@ATTRIBUTE "P278[mulher]" integer 
@ATTRIBUTE "P279[preciso]" integer 
@ATTRIBUTE "P280[tiago]" integer 
@ATTRIBUTE "P281[número]" integer 
@ATTRIBUTE "P282[atividade]" integer 
@ATTRIBUTE class {esportes,policia,problema,trabalhador} 

@DATA
1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,esportes
1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,esportes
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,esportes
1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,esportes
1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,esportes
