@RELATION UnigramTraining 

@ATTRIBUTE "P1[ser]" integer 
@ATTRIBUTE "P2[não]" integer 
@ATTRIBUTE "P3[ter]" integer 
@ATTRIBUTE "P4[time]" integer 
@ATTRIBUTE "P5[jogo]" integer 
@ATTRIBUTE "P6[estar]" integer 
@ATTRIBUTE "P7[grêmio]" integer 
@ATTRIBUTE "P8[muito]" integer 
@ATTRIBUTE "P9[fazer]" integer 
@ATTRIBUTE "P10[técnico]" integer 
@ATTRIBUTE "P11[colorar]" integer 
@ATTRIBUTE "P12[poder]" integer 
@ATTRIBUTE "P13[jogador]" integer 
@ATTRIBUTE "P14[como]" integer 
@ATTRIBUTE "P15[bom]" integer 
@ATTRIBUTE "P16[grande]" integer 
@ATTRIBUTE "P17[gol]" integer 
@ATTRIBUTE "P18[vitória]" integer 
@ATTRIBUTE "P19[clube]" integer 
@ATTRIBUTE "P20[partida]" integer 
@ATTRIBUTE "P21[ano]" integer 
@ATTRIBUTE "P22[já]" integer 
@ATTRIBUTE "P23[futebol]" integer 
@ATTRIBUTE "P24[jogar]" integer 
@ATTRIBUTE "P25[ir]" integer 
@ATTRIBUTE "P26[haver]" integer 
@ATTRIBUTE "P27[torcedor]" integer 
@ATTRIBUTE "P28[só]" integer 
@ATTRIBUTE "P29[quando]" integer 
@ATTRIBUTE "P30[primeiro]" integer 
@ATTRIBUTE "P31[tempo]" integer 
@ATTRIBUTE "P32[brasileirão]" integer 
@ATTRIBUTE "P33[ainda]" integer 
@ATTRIBUTE "P34[tricolor]" integer 
@ATTRIBUTE "P35[segundo]" integer 
@ATTRIBUTE "P36[adversário]" integer 
@ATTRIBUTE "P37[paixão]" integer 
@ATTRIBUTE "P38[dever]" integer 
@ATTRIBUTE "P39[equipe]" integer 
@ATTRIBUTE "P40[também]" integer 
@ATTRIBUTE "P41[vencer]" integer 
@ATTRIBUTE "P42[kenny.braga@diariogaucho.com.br]" integer 
@ATTRIBUTE "P43[campo]" integer 
@ATTRIBUTE "P44[hoje]" integer 
@ATTRIBUTE "P45[sempre]" integer 
@ATTRIBUTE "P46[domingo]" integer 
@ATTRIBUTE "P47[querer]" integer 
@ATTRIBUTE "P48[dizer]" integer 
@ATTRIBUTE "P49[título]" integer 
@ATTRIBUTE "P50[dar]" integer 
@ATTRIBUTE "P51[casa]" integer 
@ATTRIBUTE "P52[tráfico]" integer 
@ATTRIBUTE "P53[homem]" integer 
@ATTRIBUTE "P54[prender]" integer 
@ATTRIBUTE "P55[polícia]" integer 
@ATTRIBUTE "P56[homicídio]" integer 
@ATTRIBUTE "P57[crime]" integer 
@ATTRIBUTE "P58[encontrar]" integer 
@ATTRIBUTE "P59[delegado]" integer 
@ATTRIBUTE "P60[caso]" integer 
@ATTRIBUTE "P61[levar]" integer 
@ATTRIBUTE "P62[dia]" integer 
@ATTRIBUTE "P63[matar]" integer 
@ATTRIBUTE "P64[depois]" integer 
@ATTRIBUTE "P65[local]" integer 
@ATTRIBUTE "P66[policial]" integer 
@ATTRIBUTE "P67[carro]" integer 
@ATTRIBUTE "P68[adolescente]" integer 
@ATTRIBUTE "P69[droga]" integer 
@ATTRIBUTE "P70[porto=alegre]" integer 
@ATTRIBUTE "P71[ficar]" integer 
@ATTRIBUTE "P72[chegar]" integer 
@ATTRIBUTE "P73[tiro]" integer 
@ATTRIBUTE "P74[bala]" integer 
@ATTRIBUTE "P75[suspeito]" integer 
@ATTRIBUTE "P76[traficante]" integer 
@ATTRIBUTE "P77[de=acordo]" integer 
@ATTRIBUTE "P78[criminoso]" integer 
@ATTRIBUTE "P79[região]" integer 
@ATTRIBUTE "P80[pessoa]" integer 
@ATTRIBUTE "P81[família]" integer 
@ATTRIBUTE "P82[brigada=militar]" integer 
@ATTRIBUTE "P83[veículo]" integer 
@ATTRIBUTE "P84[morador]" integer 
@ATTRIBUTE "P85[prefeitura]" integer 
@ATTRIBUTE "P86[problema]" integer 
@ATTRIBUTE "P87[categoria]" integer 
@ATTRIBUTE "P88[rua]" integer 
@ATTRIBUTE "P89[lixo]" integer 
@ATTRIBUTE "P90[postar]" integer 
@ATTRIBUTE "P91[água]" integer 
@ATTRIBUTE "P92[situação]" integer 
@ATTRIBUTE "P93[aqui]" integer 
@ATTRIBUTE "P94[colocar]" integer 
@ATTRIBUTE "P95[precisar]" integer 
@ATTRIBUTE "P96[esgoto]" integer 
@ATTRIBUTE "P97[via]" integer 
@ATTRIBUTE "P98[passar]" integer 
@ATTRIBUTE "P99[afirmar]" integer 
@ATTRIBUTE "P100[@]" integer 
@ATTRIBUTE "P101[com.br]" integer 
@ATTRIBUTE "P102[diáriogaúcho]" integer 
@ATTRIBUTE "P103[informar]" integer 
@ATTRIBUTE "P104[chuva]" integer 
@ATTRIBUTE "P105[rede]" integer 
@ATTRIBUTE "P106[realizar]" integer 
@ATTRIBUTE "P107[calçada]" integer 
@ATTRIBUTE "P108[tiago=rech]" integer 
@ATTRIBUTE "P109[contar]" integer 
@ATTRIBUTE "P110[passado]" integer 
@ATTRIBUTE "P111[mês]" integer 
@ATTRIBUTE "P112[vaga]" integer 
@ATTRIBUTE "P113[curso]" integer 
@ATTRIBUTE "P114[auxiliar]" integer 
@ATTRIBUTE "P115[abrir]" integer 
@ATTRIBUTE "P116[r]" integer 
@ATTRIBUTE "P117[inscrição]" integer 
@ATTRIBUTE "P118[empresa]" integer 
@ATTRIBUTE "P119[%]" integer 
@ATTRIBUTE "P120[trabalho]" integer 
@ATTRIBUTE "P121[emprego]" integer 
@ATTRIBUTE "P122[área]" integer 
@ATTRIBUTE "P123[profissional]" integer 
@ATTRIBUTE "P124[público]" integer 
@ATTRIBUTE "P125[informação]" integer 
@ATTRIBUTE "P126[candidato]" integer 
@ATTRIBUTE "P127[período]" integer 
@ATTRIBUTE "P128[concurso]" integer 
@ATTRIBUTE "P129[oferecer]" integer 
@ATTRIBUTE "P130[cr]" integer 
@ATTRIBUTE "P131[ensino]" integer 
@ATTRIBUTE "P132[seleção]" integer 
@ATTRIBUTE "P133[oportunidade]" integer 
@ATTRIBUTE "P134[trabalhador]" integer 
@ATTRIBUTE "P135[féria]" integer 
@ATTRIBUTE "P136[enviar]" integer 
@ATTRIBUTE "P137[postado]" integer 
@ATTRIBUTE "P138[novo]" integer 
@ATTRIBUTE "P139[cargo]" integer 
@ATTRIBUTE class {esportes,policia,problema,trabalhador} 

@DATA
1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,esportes
1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,esportes
1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,esportes
1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,esportes
1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esportes
